time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
422,-0.876708984375,0.0859375,-0.40087890625,-2.75,11.9375,-0.4375
424,-0.875244140625,0.088134765625,-0.40087890625,-3.6875,12.375,-0.6875
426,-0.875244140625,0.088134765625,-0.40087890625,-3.6875,12.375,-0.6875
428,-0.87255859375,0.090576171875,-0.398193359375,-4.75,12.8125,-1
431,-0.87255859375,0.090576171875,-0.398193359375,-4.75,12.8125,-1
433,-0.869140625,0.091064453125,-0.3984375,-6.0625,13.3125,-1.4375
435,-0.869140625,0.091064453125,-0.3984375,-6.0625,13.3125,-1.4375
437,-0.869140625,0.091064453125,-0.3984375,-6.0625,13.3125,-1.4375
439,-0.865234375,0.09130859375,-0.401123046875,-7.125,13.625,-1.5625
441,-0.865234375,0.09130859375,-0.401123046875,-7.125,13.625,-1.5625
442,-0.861083984375,0.089599609375,-0.39990234375,-8.0625,14.125,-1.4375
444,-0.861083984375,0.089599609375,-0.39990234375,-8.0625,14.125,-1.4375
446,-0.860107421875,0.0849609375,-0.398193359375,-8.8125,14.875,-1.4375
448,-0.860107421875,0.0849609375,-0.398193359375,-8.8125,14.875,-1.4375
450,-0.860107421875,0.0849609375,-0.398193359375,-8.8125,15.5,-1.5
453,-0.8603515625,0.084228515625,-0.397705078125,-9.75,15.5,-1.5
454,-0.8603515625,0.084228515625,-0.397705078125,-9.75,15.5,-1.5
456,-0.85791015625,0.08447265625,-0.398193359375,-10.6875,15.8125,-1.5625
458,-0.85791015625,0.08447265625,-0.398193359375,-10.6875,15.8125,-1.5625
460,-0.851318359375,0.0830078125,-0.39892578125,-11.5625,16.25,-1.75
462,-0.851318359375,0.0830078125,-0.39892578125,-11.5625,16.25,-1.75
464,-0.84619140625,0.07763671875,-0.400634765625,-12.25,16.75,-2.125
466,-0.84619140625,0.07763671875,-0.400634765625,-12.25,16.75,-2.125
468,-0.84521484375,0.072265625,-0.400634765625,-12.6875,17.3125,-2.25
470,-0.84521484375,0.072265625,-0.400634765625,-12.6875,17.3125,-2.25
473,-0.845458984375,0.070556640625,-0.39990234375,-12.5,18.0625,-2.1875
476,-0.845458984375,0.070556640625,-0.39990234375,-12.5,18.0625,-2.1875
478,-0.844970703125,0.07080078125,-0.4013671875,-12.125,18.625,-2.25
480,-0.844970703125,0.07080078125,-0.4013671875,-12.125,18.625,-2.25
482,-0.841796875,0.07177734375,-0.402587890625,-11.5625,18.875,-2.1875
484,-0.841796875,0.07177734375,-0.402587890625,-11.5625,18.875,-2.1875
486,-0.838134765625,0.07080078125,-0.403564453125,-11.125,19.0625,-2.0625
488,-0.838134765625,0.07080078125,-0.403564453125,-11.125,19.0625,-2.0625
490,-0.838134765625,0.07080078125,-0.403564453125,-11.125,19.0625,-2.0625
492,-0.833251953125,0.07080078125,-0.404296875,-10.375,19.1875,-2
493,-0.833251953125,0.07080078125,-0.404296875,-10.375,19.1875,-2
495,-0.826171875,0.07373046875,-0.407470703125,-9.5625,19.625,-1.9375
498,-0.826171875,0.07373046875,-0.407470703125,-9.5625,19.625,-1.9375
500,-0.820068359375,0.07568359375,-0.41357421875,-8.8125,20.0625,-1.875
502,-0.820068359375,0.07568359375,-0.41357421875,-8.8125,20.0625,-1.875
504,-0.815673828125,0.076904296875,-0.4208984375,-8.0625,20.3125,-1.8125
506,-0.815673828125,0.076904296875,-0.4208984375,-8.0625,20.3125,-1.8125
508,-0.815673828125,0.076904296875,-0.4208984375,-7.0625,20.4375,-1.6875
510,-0.81005859375,0.07763671875,-0.4248046875,-7.0625,20.4375,-1.6875
512,-0.81005859375,0.07763671875,-0.4248046875,-7.0625,20.4375,-1.6875
514,-0.80712890625,0.07861328125,-0.43017578125,-6.0625,20.5625,-1.6875
515,-0.80712890625,0.07861328125,-0.43017578125,-6.0625,20.5625,-1.6875
517,-0.80078125,0.077880859375,-0.435302734375,-5.25,20.625,-1.75
520,-0.80078125,0.077880859375,-0.435302734375,-5.25,20.625,-1.75
522,-0.795654296875,0.077392578125,-0.4384765625,-4.375,20.5625,-1.625
524,-0.795654296875,0.077392578125,-0.4384765625,-4.375,20.5625,-1.625
525,-0.795654296875,0.077392578125,-0.4384765625,-3.625,20.5,-1.6875
527,-0.794921875,0.075927734375,-0.442138671875,-3.625,20.5,-1.6875
529,-0.794921875,0.075927734375,-0.442138671875,-3.625,20.5,-1.6875
531,-0.79248046875,0.076416015625,-0.444580078125,-2.625,20.875,-1.9375
533,-0.79248046875,0.076416015625,-0.444580078125,-2.625,20.875,-1.9375
535,-0.78759765625,0.08056640625,-0.44482421875,-1.875,21,-2.125
537,-0.78759765625,0.08056640625,-0.44482421875,-1.875,21,-2.125
539,-0.78076171875,0.084716796875,-0.447021484375,-1.4375,20.5625,-2.3125
542,-0.78076171875,0.084716796875,-0.447021484375,-1.4375,20.5625,-2.3125
544,-0.778076171875,0.08642578125,-0.44970703125,-1.5,20.3125,-2.375
547,-0.778076171875,0.08642578125,-0.44970703125,-1.5,20.3125,-2.375
548,-0.77880859375,0.087890625,-0.449462890625,-2.0625,20.5625,-2.4375
550,-0.77880859375,0.087890625,-0.449462890625,-2.0625,20.5625,-2.4375
552,-0.779052734375,0.08740234375,-0.449951171875,-2.625,20.8125,-2.6875
554,-0.779052734375,0.08740234375,-0.449951171875,-2.625,20.8125,-2.6875
556,-0.779052734375,0.08740234375,-0.449951171875,-2.625,20.8125,-2.6875
559,-0.777587890625,0.087158203125,-0.4501953125,-2.6875,20.9375,-2.875
560,-0.777587890625,0.087158203125,-0.4501953125,-2.6875,20.9375,-2.875
562,-0.774658203125,0.084716796875,-0.451171875,-2.5625,20.6875,-3.125
565,-0.774658203125,0.084716796875,-0.451171875,-2.5625,20.6875,-3.125
567,-0.774169921875,0.08203125,-0.4501953125,-2.375,20.6875,-3.4375
569,-0.774169921875,0.08203125,-0.4501953125,-2.375,20.6875,-3.4375
571,-0.775146484375,0.0810546875,-0.445068359375,-2.5,20.8125,-3.6875
573,-0.775146484375,0.0810546875,-0.445068359375,-2.5,20.8125,-3.6875
575,-0.7763671875,0.080322265625,-0.44091796875,-2.875,20.6875,-3.9375
577,-0.7763671875,0.080322265625,-0.44091796875,-2.875,20.6875,-3.9375
579,-0.7763671875,0.080322265625,-0.438232421875,-3.625,20.6875,-4
581,-0.778076171875,0.079345703125,-0.438232421875,-3.625,20.6875,-4
583,-0.778076171875,0.079345703125,-0.438232421875,-3.625,20.6875,-4
585,-0.77880859375,0.0771484375,-0.435302734375,-4.4375,20.875,-4.125
587,-0.77880859375,0.0771484375,-0.435302734375,-4.4375,20.875,-4.125
589,-0.779541015625,0.07763671875,-0.428466796875,-5.4375,20.875,-4.25
591,-0.779541015625,0.07763671875,-0.428466796875,-5.4375,20.875,-4.25
