time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.114013671875,2.23046875,1.822509765625,415.4375,404.8125,418.3125,36.56640625
99,0.114013671875,2.23046875,1.822509765625,415.4375,404.8125,418.3125,36.56640625
101,7.999755859375,-8.0,7.999755859375,-2048.0,2047.9375,-2048.0,36.56640625
104,7.999755859375,-8.0,7.999755859375,-2048.0,2047.9375,-2048.0,36.56640625
106,-8.0,7.999755859375,7.999755859375,-2048.0,2047.9375,-2048.0,36.56640625
108,-8.0,7.999755859375,7.999755859375,-2048.0,2047.9375,-2048.0,36.56640625
110,-8.0,7.999755859375,7.999755859375,-2048.0,2047.9375,-2048.0,36.56640625
111,-0.533203125,0.049072265625,-0.11962890625,20.8125,-150.0625,-1.25,36.56640625
113,-0.533203125,0.049072265625,-0.11962890625,20.8125,-150.0625,-1.25,36.56640625
115,-0.53662109375,0.019775390625,-0.1240234375,23.875,-149.125,0.125,36.56640625
117,-0.53662109375,0.019775390625,-0.1240234375,23.875,-149.125,0.125,36.56640625
119,-0.541748046875,0.00048828125,-0.13818359375,27.6875,-148.125,3.5625,36.56640625
121,-0.541748046875,0.00048828125,-0.13818359375,27.6875,-148.125,3.5625,36.56640625
123,-0.541748046875,0.00048828125,-0.13818359375,27.6875,-148.125,3.5625,36.56640625
125,-0.549072265625,-0.010986328125,-0.15380859375,31.1875,-147.0625,8.8125,36.63671875
127,-0.549072265625,-0.010986328125,-0.15380859375,31.1875,-147.0625,8.8125,36.63671875
129,-0.561767578125,-0.01806640625,-0.167236328125,36.375,-146.5,14.1875,36.63671875
131,-0.561767578125,-0.01806640625,-0.167236328125,36.375,-146.5,14.1875,36.63671875
133,-0.580322265625,-0.023681640625,-0.178466796875,41.9375,-146.1875,19.375,36.63671875
135,-0.580322265625,-0.023681640625,-0.178466796875,41.9375,-146.1875,19.375,36.63671875
137,-0.60107421875,-0.02880859375,-0.189697265625,46.6875,-146.125,24.125,36.63671875
139,-0.60107421875,-0.02880859375,-0.189697265625,46.6875,-146.125,24.125,36.63671875
141,-0.620361328125,-0.0361328125,-0.20361328125,49.375,-146.0625,28.75,36.63671875
143,-0.620361328125,-0.0361328125,-0.20361328125,49.375,-146.0625,28.75,36.63671875
145,-0.620361328125,-0.0361328125,-0.20361328125,49.375,-146.0625,28.75,36.63671875
147,-0.62841796875,-0.045166015625,-0.2236328125,49.875,-145.8125,33.3125,36.63671875
149,-0.62841796875,-0.045166015625,-0.2236328125,49.875,-145.8125,33.3125,36.63671875
151,-0.623046875,-0.0517578125,-0.244140625,48.875,-145.75,37.75,36.63671875
153,-0.623046875,-0.0517578125,-0.244140625,48.875,-145.75,37.75,36.63671875
155,-0.608154296875,-0.065673828125,-0.2587890625,46.9375,-146.9375,42.25,36.63671875
157,-0.608154296875,-0.065673828125,-0.2587890625,46.9375,-146.9375,42.25,36.63671875
159,-0.590087890625,-0.0869140625,-0.263916015625,43.5625,-149.4375,47.0625,36.63671875
161,-0.590087890625,-0.0869140625,-0.263916015625,43.5625,-149.4375,47.0625,36.63671875
163,-0.590087890625,-0.0869140625,-0.263916015625,39.8125,-152.0625,55.4375,36.63671875
165,-0.5380859375,-0.085693359375,-0.2783203125,39.8125,-152.0625,55.4375,36.63671875
167,-0.5380859375,-0.085693359375,-0.2783203125,39.8125,-152.0625,55.4375,36.63671875
169,-0.53369140625,-0.086181640625,-0.332763671875,42.1875,-148.5,74.0,36.63671875
171,-0.53369140625,-0.086181640625,-0.332763671875,42.1875,-148.5,74.0,36.63671875
173,-0.56591796875,-0.09765625,-0.274658203125,48.3125,-150.0625,81.4375,36.63671875
175,-0.56591796875,-0.09765625,-0.274658203125,48.3125,-150.0625,81.4375,36.63671875
177,-0.521240234375,-0.083984375,-0.191162109375,50.375,-156.75,83.5,36.63671875
179,-0.521240234375,-0.083984375,-0.191162109375,50.375,-156.75,83.5,36.63671875
181,-0.498046875,-0.062255859375,-0.124267578125,48.5,-161.375,87.3125,36.63671875
183,-0.498046875,-0.062255859375,-0.124267578125,48.5,-161.375,87.3125,36.63671875
185,-0.498046875,-0.062255859375,-0.124267578125,48.5,-161.375,87.3125,36.63671875
187,-0.503173828125,-0.033935546875,-0.06005859375,48.625,-165.1875,91.6875,36.63671875
189,-0.503173828125,-0.033935546875,-0.06005859375,48.625,-165.1875,91.6875,36.63671875
191,-0.49951171875,-0.00146484375,-0.017333984375,49.5625,-169.4375,93.375,36.63671875
193,-0.49951171875,-0.00146484375,-0.017333984375,49.5625,-169.4375,93.375,36.63671875
195,-0.48583984375,0.037353515625,0.008544921875,49.75,-172.9375,93.125,36.63671875
197,-0.48583984375,0.037353515625,0.008544921875,49.75,-172.9375,93.125,36.63671875
199,-0.479248046875,0.08251953125,0.0244140625,50.125,-175.9375,93.0,36.63671875
201,-0.479248046875,0.08251953125,0.0244140625,50.125,-175.9375,93.0,36.63671875
202,-0.479248046875,0.08251953125,0.0244140625,50.125,-175.9375,93.0,36.63671875
204,-0.48583984375,0.12744140625,0.03564453125,50.9375,-177.625,93.375,36.63671875
206,-0.48583984375,0.12744140625,0.03564453125,50.9375,-177.625,93.375,36.63671875
208,-0.4970703125,0.165283203125,0.047607421875,51.125,-178.0,93.375,36.63671875
210,-0.4970703125,0.165283203125,0.047607421875,51.125,-178.0,93.375,36.63671875
213,-0.504150390625,0.2001953125,0.059326171875,50.0625,-177.9375,92.625,36.63671875
215,-0.504150390625,0.2001953125,0.059326171875,50.0625,-177.9375,92.625,36.63671875
217,-0.50732421875,0.224609375,0.073974609375,47.5625,-178.125,91.375,36.63671875
219,-0.50732421875,0.224609375,0.073974609375,47.5625,-178.125,91.375,36.63671875
221,-0.517822265625,0.240966796875,0.095458984375,42.6875,-178.25,89.875,36.63671875
223,-0.517822265625,0.240966796875,0.095458984375,42.6875,-178.25,89.875,36.63671875
225,-0.517822265625,0.240966796875,0.095458984375,42.6875,-178.25,89.875,36.63671875
227,-0.53564453125,0.2470703125,0.124755859375,35.8125,-178.5625,87.9375,36.63671875
229,-0.53564453125,0.2470703125,0.124755859375,35.8125,-178.5625,87.9375,36.63671875
231,-0.55810546875,0.238037109375,0.16650390625,27.125,-178.5625,84.9375,36.63671875
232,-0.55810546875,0.238037109375,0.16650390625,27.125,-178.5625,84.9375,36.63671875
235,-0.581298828125,0.22802734375,0.220458984375,16.8125,-178.125,81.0625,36.63671875
237,-0.581298828125,0.22802734375,0.220458984375,16.8125,-178.125,81.0625,36.63671875
239,-0.60400390625,0.22607421875,0.281494140625,5.0,-177.8125,76.1875,36.63671875
241,-0.60400390625,0.22607421875,0.281494140625,5.0,-177.8125,76.1875,36.63671875
243,-0.60400390625,0.22607421875,0.343994140625,-6.3125,-177.4375,70.0,36.63671875
245,-0.625732421875,0.235595703125,0.34619140625,-6.3125,-177.4375,70.0,36.63671875
247,-0.625732421875,0.235595703125,0.34619140625,-6.3125,-177.4375,70.0,36.63671875
248,-0.64990234375,0.24609375,0.407958984375,-16.375,-176.75,62.625,36.63671875
250,-0.64990234375,0.24609375,0.407958984375,-16.375,-176.75,62.625,36.63671875
252,-0.677734375,0.24755859375,0.4638671875,-24.625,-175.875,55.1875,36.63671875
254,-0.677734375,0.24755859375,0.4638671875,-24.625,-175.875,55.1875,36.63671875
257,-0.708251953125,0.23828125,0.511962890625,-30.625,-174.4375,48.6875,36.63671875
259,-0.708251953125,0.23828125,0.511962890625,-30.625,-174.4375,48.6875,36.63671875
261,-0.74462890625,0.226806640625,0.555908203125,-34.75,-172.6875,43.125,36.63671875
263,-0.74462890625,0.226806640625,0.555908203125,-34.75,-172.6875,43.125,36.63671875
265,-0.74462890625,0.226806640625,0.60595703125,-38.5,-170.8125,38.8125,36.63671875
267,-0.791748046875,0.224365234375,0.60595703125,-38.5,-170.8125,38.8125,36.62890625
269,-0.791748046875,0.224365234375,0.60595703125,-38.5,-170.8125,38.8125,36.62890625
271,-0.847900390625,0.22119140625,0.661376953125,-42.3125,-168.25,36.0625,36.62890625
273,-0.847900390625,0.22119140625,0.661376953125,-42.3125,-168.25,36.0625,36.62890625
275,-0.900390625,0.211181640625,0.719482421875,-46.3125,-164.25,35.0,36.62890625
277,-0.900390625,0.211181640625,0.719482421875,-46.3125,-164.25,35.0,36.62890625
279,-0.941162109375,0.20263671875,0.782470703125,-50.75,-158.5,36.0625,36.62890625
281,-0.941162109375,0.20263671875,0.782470703125,-50.75,-158.5,36.0625,36.62890625
283,-0.983642578125,0.209716796875,0.85009765625,-55.3125,-151.1875,38.125,36.62890625
285,-0.983642578125,0.209716796875,0.85009765625,-55.3125,-151.1875,38.125,36.62890625
287,-0.983642578125,0.209716796875,0.85009765625,-55.3125,-151.1875,38.125,36.62890625
289,-1.025390625,0.22802734375,0.91015625,-60.1875,-141.9375,40.375,36.62890625
291,-1.025390625,0.22802734375,0.91015625,-60.1875,-141.9375,40.375,36.62890625
292,-1.060791015625,0.261474609375,0.962158203125,-65.3125,-131.0625,41.9375,36.62890625
294,-1.060791015625,0.261474609375,0.962158203125,-65.3125,-131.0625,41.9375,36.62890625
296,-1.09130859375,0.304443359375,1.001953125,-70.0625,-118.8125,42.5625,36.62890625
298,-1.09130859375,0.304443359375,1.001953125,-70.0625,-118.8125,42.5625,36.62890625
301,-1.113525390625,0.344482421875,1.030517578125,-73.8125,-106.3125,42.25,36.62890625
303,-1.113525390625,0.344482421875,1.030517578125,-73.8125,-106.3125,42.25,36.62890625
305,-1.113525390625,0.344482421875,1.030517578125,-73.8125,-106.3125,40.75,36.62890625
307,-1.1181640625,0.374267578125,1.05126953125,-76.0,-93.3125,40.75,36.62890625
308,-1.1181640625,0.374267578125,1.05126953125,-76.0,-93.3125,40.75,36.62890625
310,-1.106201171875,0.406494140625,1.066162109375,-76.625,-79.9375,37.6875,36.62890625
312,-1.106201171875,0.406494140625,1.066162109375,-76.625,-79.9375,37.6875,36.62890625
314,-1.099853515625,0.4296875,1.080078125,-74.9375,-67.75,33.5625,36.62890625
316,-1.099853515625,0.4296875,1.080078125,-74.9375,-67.75,33.5625,36.62890625
318,-1.1005859375,0.441162109375,1.082275390625,-70.8125,-57.25,29.1875,36.62890625
320,-1.1005859375,0.441162109375,1.082275390625,-70.8125,-57.25,29.1875,36.62890625
323,-1.1005859375,0.441162109375,1.082275390625,-65.5,-46.625,24.1875,36.62890625
325,-1.101318359375,0.437255859375,1.0712890625,-65.5,-46.625,24.1875,36.62890625
326,-1.101318359375,0.437255859375,1.0712890625,-65.5,-46.625,24.1875,36.62890625
328,-1.11669921875,0.42041015625,1.037109375,-59.5625,-35.8125,18.625,36.62890625
330,-1.11669921875,0.42041015625,1.037109375,-59.5625,-35.8125,18.625,36.62890625
332,-1.142333984375,0.3896484375,0.98095703125,-54.1875,-25.375,13.125,36.62890625
334,-1.142333984375,0.3896484375,0.98095703125,-54.1875,-25.375,13.125,36.62890625
336,-1.172119140625,0.3525390625,0.91455078125,-50.1875,-16.125,8.4375,36.62890625
338,-1.172119140625,0.3525390625,0.91455078125,-50.1875,-16.125,8.4375,36.62890625
340,-1.172119140625,0.3525390625,0.845703125,-48.3125,-7.8125,5.1875,36.62890625
342,-1.19384765625,0.307861328125,0.845703125,-48.3125,-7.8125,5.1875,36.62890625
345,-1.19384765625,0.307861328125,0.845703125,-48.3125,-0.5,3.75,36.62890625
346,-1.207275390625,0.269775390625,0.783935546875,-49.0625,-0.5,3.75,36.62890625
