ventana,acc_x__mean,acc_x__var,acc_x__std,acc_x__skew,acc_x__kurtosis,acc_y__mean,acc_y__var,acc_y__std,acc_y__skew,acc_y__kurtosis,acc_z__mean,acc_z__var,acc_z__std,acc_z__skew,acc_z__kurtosis,gyro_x__mean,gyro_x__var,gyro_x__std,gyro_x__skew,gyro_x__kurtosis,gyro_y__mean,gyro_y__var,gyro_y__std,gyro_y__skew,gyro_y__kurtosis,gyro_z__mean,gyro_z__var,gyro_z__std,gyro_z__skew,gyro_z__kurtosis
1,0.823896484375,0.007462881660461425,0.08638797173485106,-0.34853287611593775,-1.3116890472683673,-0.111728515625,0.0033739227294921864,0.05808547778483178,0.44970677924459723,-0.9986689045616095,-0.5903076171875,0.027728769183158867,0.16651957597579592,0.03916919317845805,-0.9429817446802895,1.32,288.3075218749999,16.97962078124832,0.05875826766573185,-1.380404835090546,-10.499375,848.7756636718753,29.133754712907763,0.015413440858512447,-1.0196091278796255,35.33375,710.7131421874997,26.659203705052775,0.03625109333513562,-1.2858193370702462
2,0.67040771484375,0.07126309930682187,0.26695149242291544,0.7600220334851034,-0.8611863658083632,-0.0772216796875,0.036928928494453436,0.19216901023435967,0.09435015671688307,-1.2960771429144635,0.57322021484375,0.3069505335032938,0.5540311665450725,-0.6945969035253843,-1.1524939423744422,-19.8975,237.6959781249999,15.417392066267235,-0.039507701239400235,-1.0340784476349631,108.645,837.0697562500004,28.93215782222267,-0.8349377523654397,-0.5162516565352826,1.921875,1123.456279296875,33.51799933314748,-0.3024132678406598,-1.09807146907382
3,0.87105224609375,0.027072298592329017,0.16453661778561335,0.16501111110290972,-1.2809518029095288,-0.2533984375,0.028995875930786133,0.17028175454459626,0.31356554775033135,-0.6889116583760115,0.43451171875,0.025327514553070064,0.15914620495968498,0.08613708734142848,-1.1488622423832122,15.9925,91.42681875000004,9.561737224479662,-0.5412584475757026,-1.194385185722513,-26.954375,547.3170199218748,23.39480754188576,1.4576870670568232,1.6037040177580861,10.559375,614.2411230468748,24.783888376259178,-0.3856766816637943,0.01317517844989391
4,0.77626953125,0.018617007732391375,0.13644415609468724,0.9354241578704331,-0.6954932855127414,-0.0788525390625,0.030679388022422805,0.17515532541839202,0.9767431878447869,-0.19668182940003076,0.5142236328125,0.027759515786170984,0.16661187168437602,-0.272913756627116,-0.7428159931710336,30.178125,336.979716796875,18.35700729413362,-0.3385624083496674,-1.3245277047430406,-50.195625,77.06262929687499,8.778532297421647,0.3941294457746629,-0.19514390725774078,3.30875,1115.3209234375001,33.396420817768785,-0.4224946221368109,-0.9115487586422679
5,1.01070556640625,0.02182964488863945,0.14774858675682637,-0.8180612152526291,-0.16953925189072505,-0.15970458984375,0.009656960219144826,0.09826983371892326,0.2797063083405135,-1.324532599765034,-0.53759521484375,0.1386140602767468,0.3723090923906463,0.5637491586610563,-1.3101208424343949,-5.155625,499.13222617187495,22.341267335849032,0.5787069607821871,-0.816069646233331,-21.195625,1008.8557542968751,31.762489737060523,0.28308440830972426,-1.641052066977769,-52.116875,418.5788792968751,20.459200358197656,0.43993929979077767,-0.8945621633685392
6,1.289287109375,0.031218795394897452,0.17668841330120505,-0.1475108473040503,-1.2609687657376425,-0.2268603515625,0.01449290225505829,0.12038647039870506,-0.6670695444874818,-0.8715826624507241,-0.72001220703125,0.0220748568236828,0.14857609775358485,-0.18808901707332368,-1.0360243636669961,4.505,175.56505312499996,13.250096343989352,0.17116504173021146,-0.6079764848168572,-0.0575,854.9506781249997,29.23953963599632,-0.39292905863052435,-1.4700643390774084,20.045,923.4785999999999,30.388790696570997,0.49953742506241566,-0.5527840179461969
7,0.6819970703125,0.1787599020242691,0.4228000733494131,-0.367262292318014,-0.9677261080465018,-0.24760009765625,0.03707444555163382,0.19254725537289236,0.033763706294855124,-1.245920099300841,-0.52186767578125,0.18961369544863715,0.4354465471773053,0.49174700519416786,-0.6657555180693828,-34.028125,341.5295605468751,18.480518405793575,-0.23263245790882295,-1.2041093914826533,-9.0675,2334.2348187499992,48.313919513428004,0.7356795079183228,-0.4141482054679222,57.766875,389.557488671875,19.73721076220941,-0.43785958237014344,-0.3683209204117799
8,0.7688671875,0.06029020557403561,0.24554063935331685,-0.9398077426157029,-0.558673356699265,-0.144482421875,0.024208097457885748,0.15558951589964456,0.2569858322661625,-0.42088739386384777,0.81756103515625,0.044033977812528595,0.2098427454369786,0.40850033066560715,-1.125354268086746,-15.518125,470.5137730468752,21.691329443970815,0.25926013606174647,-1.1873908001152,98.596875,2017.6658886718753,44.91843595531656,-0.4856100696313229,-0.7370472904173071,-1.559375,2192.326826171877,46.82228984332011,-0.12528085291948693,-0.2780080464687127
9,0.84435546875,0.00870657501220703,0.09330902963918888,0.3276661218850521,-1.334080516104583,-0.2392724609375,0.027466865563392638,0.1657313053209702,1.2554154356673382,1.8639218898968721,0.54706787109375,0.0393052319228649,0.19825547135669397,0.7429843174705074,-0.45865152403356424,28.57625,133.86590468749998,11.570043417701594,1.0369915467947617,1.466132492872429,-48.07375,1212.5137015625003,34.82116743537615,-0.7298910811603048,-0.5638487272931223,-25.103125,528.170263671875,22.981955175134143,-1.1707824706278507,0.5448027622099354
10,0.63171630859375,0.015309686058759691,0.12373231614562014,0.5982281700027466,-0.9540769194238705,-0.195712890625,0.035061240816116335,0.18724647077079007,0.5741907153434438,0.777539370840802,-0.01552490234375,0.11302270662188527,0.33618849864605016,-0.06303319075961776,-1.2141486838131854,35.035,983.0558843749996,31.353722017888078,-0.00014371867593428333,-0.7645916400370067,-69.96125,275.8194359375,16.60781249705993,-0.07909471378308185,-1.2730097247437504,-36.946875,1721.471669921873,41.49062146945829,1.0061842210603138,-0.25170837810062796
