time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
403,0.02294921875,-0.058349609375,0.923583984375,-4,-2.6875,-2.75
405,0.02294921875,-0.058349609375,0.923583984375,-4,-2.6875,-2.75
407,0.022705078125,-0.060546875,0.920654296875,-4.625,-2.625,-2.8125
409,0.022705078125,-0.060546875,0.920654296875,-4.625,-2.625,-2.8125
410,0.023193359375,-0.059814453125,0.913818359375,-5,-2.75,-3
412,0.023193359375,-0.059814453125,0.913818359375,-5,-2.75,-3
414,0.022705078125,-0.05712890625,0.9052734375,-5.25,-2.9375,-3.25
416,0.022705078125,-0.05712890625,0.9052734375,-5.25,-2.9375,-3.25
418,0.024169921875,-0.05712890625,0.897705078125,-4.9375,-3.125,-3.1875
420,0.024169921875,-0.05712890625,0.897705078125,-4.9375,-3.125,-3.1875
423,0.024169921875,-0.05712890625,0.897705078125,-4.4375,-3.3125,-3
424,0.02978515625,-0.05859375,0.8916015625,-4.4375,-3.3125,-3
426,0.02978515625,-0.05859375,0.8916015625,-4.4375,-3.3125,-3
428,0.032470703125,-0.057861328125,0.8857421875,-4.125,-3.5625,-2.8125
430,0.032470703125,-0.057861328125,0.8857421875,-4.125,-3.5625,-2.8125
432,0.034912109375,-0.057373046875,0.881103515625,-4.1875,-3.75,-2.5
434,0.034912109375,-0.057373046875,0.881103515625,-4.1875,-3.75,-2.5
436,0.034912109375,-0.057373046875,0.876220703125,-4.3125,-4.125,-1.9375
438,0.040283203125,-0.055419921875,0.876220703125,-4.3125,-4.125,-1.9375
440,0.040283203125,-0.055419921875,0.876220703125,-4.3125,-4.125,-1.9375
442,0.046630859375,-0.0546875,0.8720703125,-4.5625,-4.125,-1.125
444,0.046630859375,-0.0546875,0.8720703125,-4.5625,-4.125,-1.125
446,0.048828125,-0.05517578125,0.865966796875,-4.9375,-4.3125,-0.375
448,0.048828125,-0.05517578125,0.865966796875,-4.9375,-4.3125,-0.375
450,0.04638671875,-0.055908203125,0.857421875,-5.5,-4.6875,0.9375
452,0.04638671875,-0.055908203125,0.857421875,-5.5,-4.6875,0.9375
454,0.04638671875,-0.055908203125,0.85009765625,-6.4375,-5.1875,2.3125
456,0.04248046875,-0.05615234375,0.85009765625,-6.4375,-5.1875,2.3125
458,0.040283203125,-0.056884765625,0.843994140625,-7.375,-6.0625,3.8125
460,0.040283203125,-0.056884765625,0.843994140625,-7.375,-6.0625,3.8125
462,0.040283203125,-0.056884765625,0.843994140625,-7.375,-6.0625,3.8125
464,0.038818359375,-0.0556640625,0.83837890625,-8.125,-7.125,5.3125
466,0.038818359375,-0.0556640625,0.83837890625,-8.125,-7.125,5.3125
468,0.041748046875,-0.05517578125,0.83447265625,-8.9375,-8.5625,6.875
470,0.041748046875,-0.05517578125,0.83447265625,-8.9375,-8.5625,6.875
472,0.046630859375,-0.05419921875,0.834228515625,-9.8125,-10.5,8.625
474,0.046630859375,-0.05419921875,0.834228515625,-9.8125,-10.5,8.625
476,0.0498046875,-0.05078125,0.83154296875,-10.5,-12.75,10.1875
478,0.0498046875,-0.05078125,0.83154296875,-10.5,-12.75,10.1875
480,0.0498046875,-0.05078125,0.83154296875,-10.5,-12.75,10.1875
482,0.052734375,-0.049072265625,0.826904296875,-10.75,-15.25,11.875
484,0.052734375,-0.049072265625,0.826904296875,-10.75,-15.25,11.875
486,0.056884765625,-0.049072265625,0.818603515625,-10.875,-18.25,13.625
488,0.056884765625,-0.049072265625,0.818603515625,-10.875,-18.25,13.625
490,0.06689453125,-0.050537109375,0.8115234375,-10.75,-21.625,15.4375
492,0.06689453125,-0.050537109375,0.8115234375,-10.75,-21.625,15.4375
494,0.084716796875,-0.053466796875,0.802978515625,-9.9375,-24.625,17.3125
495,0.084716796875,-0.053466796875,0.802978515625,-9.9375,-24.625,17.3125
497,0.084716796875,-0.053466796875,0.802978515625,-9.9375,-24.625,17.3125
499,0.1064453125,-0.0537109375,0.7939453125,-8.8125,-27.625,19.3125
501,0.1064453125,-0.0537109375,0.7939453125,-8.8125,-27.625,19.3125
503,0.129150390625,-0.052490234375,0.791015625,-7.625,-30.375,21.4375
505,0.129150390625,-0.052490234375,0.791015625,-7.625,-30.375,21.4375
507,0.147705078125,-0.055419921875,0.79150390625,-6.125,-32.3125,23.875
510,0.147705078125,-0.055419921875,0.79150390625,-6.125,-32.3125,23.875
511,0.171875,-0.05419921875,0.794189453125,-5.25,-33.1875,26.0625
513,0.171875,-0.05419921875,0.794189453125,-5.25,-33.1875,26.0625
