time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.233154296875,2.265625,-3.243896484375,445.0625,262.9375,444.9375,33.92578125
98,0.233154296875,2.265625,-3.243896484375,445.0625,262.9375,444.9375,33.92578125
100,7.999755859375,7.999755859375,7.999755859375,-2048.0,69.1875,-2048.0,33.92578125
102,7.999755859375,7.999755859375,7.999755859375,-2048.0,69.1875,-2048.0,33.92578125
103,7.999755859375,7.999755859375,7.999755859375,-2048.0,69.1875,-2048.0,33.92578125
105,-8.0,7.999755859375,7.999755859375,-522.3125,-2048.0,-2048.0,33.92578125
107,-8.0,7.999755859375,7.999755859375,-522.3125,-2048.0,-2048.0,33.92578125
109,-0.59326171875,0.07373046875,0.854736328125,20.0,-5.25,-6.375,33.92578125
111,-0.59326171875,0.07373046875,0.854736328125,20.0,-5.25,-6.375,33.92578125
113,-0.600830078125,0.072021484375,0.843994140625,19.0,-4.1875,-7.1875,33.92578125
115,-0.600830078125,0.072021484375,0.843994140625,19.0,-4.1875,-7.1875,33.92578125
117,-0.600830078125,0.072021484375,0.843994140625,19.0,-4.1875,-7.1875,33.92578125
119,-0.609130859375,0.06884765625,0.833740234375,17.25,-3.0625,-8.0625,33.92578125
121,-0.609130859375,0.06884765625,0.833740234375,17.25,-3.0625,-8.0625,33.92578125
123,-0.616455078125,0.060791015625,0.822509765625,14.3125,-1.875,-9.25,33.984375
125,-0.616455078125,0.060791015625,0.822509765625,14.3125,-1.875,-9.25,33.984375
127,-0.618896484375,0.055419921875,0.81591796875,12.4375,-0.6875,-10.625,33.984375
129,-0.618896484375,0.055419921875,0.81591796875,12.4375,-0.6875,-10.625,33.984375
131,-0.615234375,0.05615234375,0.814453125,11.375,0.875,-12.375,33.984375
133,-0.615234375,0.05615234375,0.814453125,11.375,0.875,-12.375,33.984375
135,-0.615234375,0.05615234375,0.814453125,11.375,0.875,-12.375,33.984375
137,-0.607177734375,0.06005859375,0.817626953125,10.25,2.5625,-14.25,33.984375
138,-0.607177734375,0.06005859375,0.817626953125,10.25,2.5625,-14.25,33.984375
141,-0.599365234375,0.068359375,0.8203125,9.1875,4.625,-15.875,33.984375
143,-0.599365234375,0.068359375,0.8203125,9.1875,4.625,-15.875,33.984375
145,-0.5927734375,0.072998046875,0.82080078125,8.25,6.625,-17.6875,33.984375
147,-0.5927734375,0.072998046875,0.82080078125,8.25,6.625,-17.6875,33.984375
149,-0.593017578125,0.076904296875,0.820556640625,7.875,8.4375,-19.0,33.984375
151,-0.593017578125,0.076904296875,0.820556640625,7.875,8.4375,-19.0,33.984375
153,-0.593505859375,0.0830078125,0.820068359375,8.0625,9.875,-20.0,33.984375
155,-0.593505859375,0.0830078125,0.820068359375,8.0625,9.875,-20.0,33.984375
157,-0.593505859375,0.08544921875,0.81982421875,8.375,11.25,-20.5,33.984375
