ventana,acc_x__mean,acc_x__var,acc_x__std,acc_x__skew,acc_x__kurtosis,acc_y__mean,acc_y__var,acc_y__std,acc_y__skew,acc_y__kurtosis,acc_z__mean,acc_z__var,acc_z__std,acc_z__skew,acc_z__kurtosis,gyro_x__mean,gyro_x__var,gyro_x__std,gyro_x__skew,gyro_x__kurtosis,gyro_y__mean,gyro_y__var,gyro_y__std,gyro_y__skew,gyro_y__kurtosis,gyro_z__mean,gyro_z__var,gyro_z__std,gyro_z__skew,gyro_z__kurtosis
12,-0.66117919921875,0.003616957300901413,0.06014114482533079,-0.6585651066214501,-1.1547645821364125,0.15775634765625,0.003618950909376144,0.060157716956149056,0.1406391808415248,-1.6177190319552217,-0.42194091796875,0.018996555632352828,0.13782799291999007,0.17771630600825017,-1.4827081975947067,-5.51875,261.82878906250005,16.181124468419988,0.40268313230708913,-1.1125167298099392,106.610625,151.25334804687506,12.298509992957483,-0.6162740841478641,-1.0302692242343876,-15.256875,175.139679296875,13.234034883469024,0.20042717070740304,-1.502494659221081
13,-0.52376708984375,0.001227603405714035,0.0350371717710496,0.48413023617643003,-0.5137887656592608,0.122734375,0.0037112463474273678,0.060919999568510894,0.8405881627849902,-0.6531205509281386,-0.86001953125,0.03545126142501832,0.18828505364212614,0.15582686971920104,-0.37434745251150847,-0.095625,98.936676171875,9.946691719957697,-0.24053993900914647,-1.1912633025832895,108.4925,62.92502187500002,7.932529349142052,0.5461400592068654,-0.7268096864976692,-8.798125,22.319676171874995,4.72437045243861,-0.07066655923754994,-0.6042579553484377
14,-0.25973388671875,0.01172554451823234,0.10828455346092691,-0.5895225081562022,-1.213732962710549,0.1728369140625,0.004088696026802063,0.06394291224836467,-0.8358100728530526,-0.5597122846853773,-1.6522265625,0.0280645435810089,0.1675247551289328,0.3738334868195444,-0.9128029203370298,6.5625,169.4753125,13.018268414040325,0.15127118704764983,-1.316871148303678,-1.0625,5650.492890625,75.16976048002947,-0.34052041538800576,-1.1681822794056245,0.4625,96.2149999999999,9.808924507814295,-0.7890897764638247,0.13813016521972576
15,-0.21130126953125,0.001235229367017746,0.03514583000894624,0.35442172882708556,-0.19183245178452069,0.1237548828125,0.0028604394197463993,0.05348307601238358,-1.0998311904315696,0.42250316419270595,-0.74453857421875,0.16524423796534535,0.40650244521447265,-0.07182365536062643,-1.3758018939170673,-0.901875,681.0229105468752,26.09641566473977,-0.6424494001022593,-0.7904176170065309,-240.740625,2027.981435546872,45.03311487724197,0.8514297967560146,-0.6233324512493028,19.05,76.12179687499997,8.72478062045115,-0.7822408143653278,0.17269007350880905
16,-0.644482421875,0.14395975112915035,0.3794202829701522,0.051437991410845235,-1.607284516419605,0.13193603515625,0.007009608858823778,0.08372340687540002,-0.7074559693995249,-0.9497333355904147,0.83890625,0.10612750735282911,0.3257721709305893,-1.0590201670378705,0.026488017813289577,-19.831875,562.8253667968746,23.723940793992778,0.29062305108092357,-1.1643525440949103,-178.376875,7878.719332421872,88.76215033685176,0.43998112717305987,-1.2273116271263027,11.82875,117.24418906249997,10.827935586366404,0.7891896355950118,-0.044992158731191
17,-1.01130615234375,0.0023473807513713836,0.048449775555428364,-0.4190845553165205,-1.2310703923622612,0.1831494140625,0.0017483536958694465,0.04181331959877673,0.3514959631168845,-0.7001629607766233,0.4502783203125,0.016324650311470047,0.1277679549475143,1.4127891117626281,1.5184453908499007,6.298125,121.75264492187502,11.03415809755665,0.5343920682651104,-1.0844709262242829,3.674375,21.768538671874992,4.665676657450128,-0.14777850990053276,-0.5662809057282594,-3.56375,21.870545312499996,4.676595483094513,0.49362539817835255,-0.24465100320621058
18,-0.9705615234375,0.0008189012765884396,0.028616451152937178,-0.2878157798217702,-1.2099542522798608,0.176357421875,0.0014640325546264646,0.03826267835144927,-0.11324631285076318,-0.7395623413852617,0.44565185546875,0.0028986273944377893,0.05383890224027408,0.2085269628690719,-1.058777890086521,7.988125,34.43942929687498,5.868511676470873,-0.25510450901314646,-1.3595547895387359,29.1375,495.98632812500006,22.270750506550065,0.3675398012890622,-1.6100204347406477,-6.055,6.734006250000004,2.594996387280723,-0.23944810258941326,-0.2575043957653347
19,-0.95953857421875,0.0015426967799663542,0.03927717886975023,1.385369547335246,1.6221349450450235,0.1435498046875,0.0005674659967422484,0.02382154480175978,0.7319008175386684,-0.3475709410505621,0.26113037109375,0.0021172298133373276,0.04601336559454576,0.1560130609182218,-0.5223211225514763,-0.82125,122.03593906249998,11.046987782309708,0.010964063871395362,-1.4526229209065407,80.925,113.61398437499994,10.658986085693138,0.5847982631285049,-0.7956681530458196,-0.16,33.890415625,5.821547528363914,1.181342160811939,-0.12837763738607366
20,-0.71463134765625,0.007015680855512618,0.08375966126670176,-0.7037856803157899,-1.1803285980258595,0.22608642578125,0.006150596588850018,0.07842573932612952,-0.841638243932451,-0.703614068622163,-0.0941259765625,0.04459618737697598,0.21117809397988224,-0.002243142945173695,-1.397303290056845,7.234375,114.345029296875,10.693223522253474,0.07996680652094383,-1.3923079557817886,125.330625,136.555648046875,11.6857027194292,-1.1968775188269143,-0.03939501228900211,12.304375,146.800988671875,12.116145784525498,-0.25986222058585956,-1.1140871248999162
21,-0.563466796875,0.0007495903015136717,0.027378646816701362,-0.6755446952359775,-0.8879408564071838,0.1927734375,0.0010006320476531984,0.03163276857395189,0.3524999036622362,-1.1746871801184338,-0.68311767578125,0.029891024082899093,0.1728902081753015,-0.7798866449921638,0.6481102420075899,7.050625,159.04497617187502,12.61130350803893,1.5902733659497053,1.855837988240924,100.8575,352.67391249999986,18.779614279851433,-0.11245196632518763,-1.3364107565505727,-14.11375,24.210654687499982,4.9204323679428805,0.5915415061978905,-1.1698281811410984
22,-0.65224365234375,0.006944611185789109,0.08333433377539601,0.5045038323881109,-0.9870758907438013,0.232763671875,0.0008922922611236575,0.029871261458526612,-0.375974767538587,-0.8924752526699002,-1.4908056640625,0.01766864802837372,0.13292346680843725,0.4373612340117402,-1.20659635815766,1.8925,62.805396875000035,7.924985607242453,1.9975821162290324,5.507428577944852,1.966875,2940.018394921876,54.22193647336727,0.3336417119704323,-1.1840604150633738,-10.0125,124.70015625000002,11.166922416225521,0.2998643066459149,-1.277356303830899
