time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,2.335205078125,0.511474609375,436.375,258.75,437.8125,0.0
99,-4.7919921875,2.335205078125,0.511474609375,436.375,258.75,437.8125,35.01171875
101,-4.7919921875,2.335205078125,0.511474609375,436.375,407.625,-2048.0,35.01171875
103,-8.0,7.999755859375,7.999755859375,-2048.0,407.625,-2048.0,35.01171875
104,-8.0,7.999755859375,7.999755859375,-2048.0,407.625,-2048.0,35.01171875
106,-8.0,7.999755859375,-8.0,-1289.0,-2048.0,-2048.0,35.01171875
108,-8.0,7.999755859375,-8.0,-1289.0,-2048.0,-2048.0,35.01171875
110,0.952880859375,0.02099609375,-0.126953125,6.9375,-3.9375,-3.1875,35.01171875
112,0.952880859375,0.02099609375,-0.126953125,6.9375,-3.9375,-3.1875,35.01171875
114,0.957275390625,0.015380859375,-0.1298828125,7.125,-3.1875,-3.5625,35.01171875
116,0.957275390625,0.015380859375,-0.1298828125,7.125,-3.1875,-3.5625,35.01171875
118,0.957275390625,0.015380859375,-0.1298828125,7.125,-3.1875,-3.5625,35.01171875
120,0.958740234375,0.011962890625,-0.13134765625,6.375,-2.5625,-3.8125,35.01171875
122,0.958740234375,0.011962890625,-0.13134765625,6.375,-2.5625,-3.8125,35.01171875
124,0.957763671875,0.01123046875,-0.13037109375,4.375,-1.9375,-3.6875,35.1015625
126,0.957763671875,0.01123046875,-0.13037109375,4.375,-1.9375,-3.6875,35.1015625
128,0.957275390625,0.01025390625,-0.127197265625,2.8125,-1.625,-3.5,35.1015625
130,0.957275390625,0.01025390625,-0.127197265625,2.8125,-1.625,-3.5,35.1015625
132,0.960205078125,0.007568359375,-0.125732421875,2.125,-1.375,-3.3125,35.1015625
134,0.960205078125,0.007568359375,-0.125732421875,2.125,-1.375,-3.3125,35.1015625
136,0.960205078125,0.007568359375,-0.125732421875,1.875,-1.5625,-3.1875,35.1015625
138,0.962890625,0.006591796875,-0.12646484375,1.875,-1.5625,-3.1875,35.1015625
140,0.962890625,0.006591796875,-0.12646484375,1.875,-1.5625,-3.1875,35.1015625
142,0.96533203125,0.00390625,-0.12890625,1.8125,-2.0625,-2.9375,35.1015625
144,0.96533203125,0.00390625,-0.12890625,1.8125,-2.0625,-2.9375,35.1015625
146,0.965087890625,0.0009765625,-0.12548828125,1.5625,-2.6875,-2.9375,35.1015625
148,0.965087890625,0.0009765625,-0.12548828125,1.5625,-2.6875,-2.9375,35.1015625
150,0.96484375,-0.001220703125,-0.11962890625,1.375,-3.25,-2.875,35.1015625
152,0.96484375,-0.001220703125,-0.11962890625,1.375,-3.25,-2.875,35.1015625
154,0.9658203125,-0.002685546875,-0.117919921875,1.0,-3.1875,-2.75,35.1015625
